DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Mar-21,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,128438,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,128438,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,128438,100,0,0,0,6534,100,103.02,0,0,0,4.62
Total,128438,,0,,0,6534,,103.02,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,10568,128438,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,2159,21596,,,,,,,,,,
MINERAL WATER CIMS,782,15640,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2594,19642,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,384,18632,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,163,14884,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,819,10564,,,,,,,,,,
BAKERY CIMS,139,889,,,,,,,,,,
CIMS HOT BEVERAGE,1422,10563,,,,,,,,,,
CIMS FRUIT CORNER,73,2165,,,,,,,,,,
CIMS SANDWICH DELIGHT,72,2487,,,,,,,,,,
CIMS INDIAN SNACKS,1789,9546,,,,,,,,,,
CIMS COFFEE BT,102,1680,,,,,,,,,,
CIMS SWEET TEMPTATIONS,52,150,,,,,,,,,,
CIMS COLD BEVERAGE,18,0,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,4198,128438,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight â€“ PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,4198,0,6534,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,4198,0,6534,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,4198,0,6534,,,,,,,,,
